Stage,Priority,Resource,Format,Link,Why I picked THIS one for you
"A - SF QA Automation (interview in weeks)",1,"Trailhead: Salesforce App Testing with Provar","Course (free, SF-native)","https://trailhead.salesforce.com/content/learn/modules/salesforce-app-testing-with-provar","This is your unfair advantage. You already know Sales/Service/Marketing/Data Cloud - most QA candidates don't. This teaches SF-specific test pain (Shadow DOM, dynamic locators, iFrames) using YOUR domain. In an interview you say 'I know why SF UI tests break on seasonal releases' - no bootcamp grad can say that. Start here week 1."
"A - SF QA Automation (interview in weeks)",1,"30-Days-Python-SDET-Challenge (Rakesh9254)","Creator/GitHub repo (build-first)","https://github.com/Rakesh9254/30-Days-Python-SDET-Challenge","You learn by BUILDING and this is a day-by-day Python SDET build plan, not a lecture series. Exactly the antidote to the scattered YouTube playlists that failed you. Fork it, do a day per day, commit publicly = instant portfolio you show interviewers."
"A - SF QA Automation (interview in weeks)",1,"pytest official docs + Selenium/SeleniumBase","Docs (build-first)","https://docs.pytest.org/en/stable/","Skip the video courses for the tool itself - you already code (Apex). Read the docs, write a real test suite against a SF dev org. pytest fixtures/parametrize is the #1 thing SDET interviewers probe. Build > watch for you here."
"A - SF QA Automation (interview in weeks)",2,"QA Playground Playwright Framework (yogeshwarshelke)","Creator/GitHub repo","https://github.com/yogeshwarshelke/QA_Playground_Playwright_Framework","A ready practice ground with 21+ tricky elements (shadow DOM, iframes, dynamic waits) - the same things that break SF tests. Clone it, break it, rebuild it. Portfolio proof you can handle hard UI, not just happy-path clicks."
"A - SF QA Automation (interview in weeks)",2,"LearnVern - Selenium Automation Testing (Hindi)","Course (free, Hindi)","https://www.learnvern.com/course/selenium-tutorials","Your Hindi-language fallback. If any English concept doesn't land, this covers Selenium end-to-end in Hindi, free. Use as a reference/unblock, not your main path (video is your lowest-priority format)."
"A - SF QA Automation (interview in weeks)",1,"SDET Interview Q&A (himanshuai substack, senior-level)","Read/creator","https://himanshuai.substack.com/p/ai-sdet-l1-python-playwright-interview","You are SENIOR - you'll be asked to DESIGN and defend a test strategy, not just write a test. These 50 Qs are calibrated for senior/lead SDET with the 'why', not the 'what'. Read one block per interview-prep session. Directly serves your 'start interviewing now' goal."
"A - SF QA Automation (interview in weeks)",2,"GeeksforGeeks SDET Interview Questions","Read","https://www.geeksforgeeks.org/software-testing/sdet-interview-questions-and-answers/","Free rapid-fire coverage of the standard SDET question bank to close gaps before screens. Skim, don't study - you cross-check only the ones you can't answer cold."
"B - Python SWE + DSA + System Design (build confidence, then apply)",1,"NeetCode.io (roadmap + free YouTube patterns)","Course/Creator (free tier)","https://neetcode.io/roadmap","Do NOT grind random LeetCode - that's the trap that wastes months. NeetCode's roadmap teaches ~20 PATTERNS in a dependency order. As a working dev you'll move fast. Use free YouTube walkthroughs + free roadmap. This is the single highest-ROI DSA resource for someone who already codes."
"B - Python SWE + DSA + System Design (build confidence, then apply)",2,"Grind 75","Tool (free roadmap)","https://www.techinterviewhandbook.org/grind75/","Tells you WHICH problems to do given your hours (21/wk) and timeline - so you never wonder what's next. Pair with NeetCode: NeetCode teaches the pattern, Grind75 schedules the practice. Kills decision fatigue."
"B - Python SWE + DSA + System Design (build confidence, then apply)",1,"System Design Primer (donnemartin)","Read/GitHub repo (free)","https://github.com/donnemartin/system-design-primer","The reference every backend candidate actually uses, and it's free with Anki flashcards. As a SF dev you already think in objects/limits/integrations - system design will click faster for you than for new grads. Read it AFTER you're comfortable in Python, not before."
"C - AI Engineering (shares Python spine - lowest waste)",1,"Neural Networks: Zero to Hero (Andrej Karpathy)","Creator/course (free)","https://karpathy.ai/zero-to-hero.html","THE build-first AI resource. You don't watch theory - you code a neural net, then a GPT, from scratch line by line. Perfect for your 'build to understand' style. Everything transfers even if you later pick vision/agents. Non-negotiable starting point for AI."
"C - AI Engineering (shares Python spine - lowest waste)",1,"Practical Deep Learning for Coders (fast.ai)","Course (free)","https://course.fast.ai/","Top-down: you train a working model in lesson 1, theory comes later. Built for coders, not researchers. Complements Karpathy (bottom-up). Between the two you get both 'how it works' and 'how to ship it'."
"C - AI Engineering (shares Python spine - lowest waste)",2,"Hugging Face LLM Course + Agents Course + MCP Course","Course (free, hands-on)","https://huggingface.co/learn/llm-course/chapter1/1","This is the JOB-READY layer: RAG, fine-tuning, agents, MCP - what AI-engineer roles actually hire for in 2026. Hands-on with real libraries. Do this once you've done Karpathy so you understand what's under the hood instead of just calling APIs blindly."
"C - Robotics (DIVERGENT PATH - see note)",1,"Modern Robotics: Mechanics, Planning & Control (Northwestern, Kevin Lynch)","Course (audit free) + free textbook","https://modernrobotics.northwestern.edu/nu-gm-book-resource/foundations-of-robot-motion/","The gold-standard robotics foundation, auditable free, with a free textbook and Python library. HONEST WARNING: it is math-heavy (needs linear algebra + first-order ODEs + mechanics). This is a serious multi-month commitment, not a bridge skill - only start if robotics wins over AI for you."
"C - Robotics (DIVERGENT PATH - see note)",2,"ROS 2 Official Tutorials","Docs (free, build-first)","https://docs.ros.org/en/rolling/Tutorials.html","ROS 2 is the industry framework - hands-on and Python-friendly (rclpy), so it fits your build-first style. Pair with Modern Robotics (theory) once you've committed to the robotics fork. Portfolio = a working ROS 2 project."
